Column,Row,Angle,HeadPitch,HeadYaw,SonarLeft,SonarRight,LandmarkDetected,LandmarkID1,Alpha1,Beta1,Width1,Height1,LandmarkID2,Alpha2,Beta2,Width2,Height2,LandmarkID3,Alpha3,Beta3,Width3,Height3,LandmarkID4,Alpha4,Beta4,Width4,Height4
0,1,40,N/A,N/A,0.459999979,0.219999999,TRUE,112,-0.187876865,-0.142573416,0.132863194,0.132863194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,50,N/A,N/A,0.459999979,0.280000001,TRUE,112,0.059165642,-0.141275316,0.127880827,0.127880827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,60,N/A,N/A,0.429999977,0.159999996,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,70,N/A,N/A,0.340000004,0.179999992,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,80,N/A,N/A,0.299999982,0.219999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,90,N/A,N/A,0.219999999,0.25999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,100,N/A,N/A,0.219999999,0.239999995,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,110,N/A,N/A,0.119999997,0.239999995,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,120,N/A,N/A,0.179999992,0.299999982,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,130,N/A,N/A,0.219999999,0.329999983,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,140,N/A,N/A,0.349999994,0.439999998,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,150,N/A,N/A,0.299999982,0.459999979,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,160,N/A,N/A,0.429999977,0.469999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,170,N/A,N/A,0.379999995,0.479999989,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,180,N/A,N/A,0.439999998,0.75999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,190,N/A,N/A,0.459999979,0.699999988,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,200,N/A,N/A,0.459999979,0.199999988,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,210,N/A,N/A,0.48999998,0.219999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,220,N/A,N/A,0.479999989,0.199999988,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,230,N/A,N/A,0.689999998,0.140000001,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,240,N/A,N/A,0.399999976,0.140000001,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,250,N/A,N/A,0.50999999,0.469999999,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,260,N/A,N/A,0.179999992,0.319999993,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,270,N/A,N/A,0.219999999,0.479999989,TRUE,111,-0.242682919,-0.138679132,0.1312024,0.1312024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,280,N/A,N/A,0.219999999,0.449999988,TRUE,111,0.029894207,-0.133486778,0.132863194,0.132863194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,290,N/A,N/A,0.239999995,0.439999998,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,N/A,N/A,0.469999999,0.439999998,TRUE,64,-0.277351916,-0.093462393,0.107951343,0.107951343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,310,N/A,N/A,0.449999988,0.379999995,TRUE,68,-0.17438294,-0.102332659,0.10462977,0.10462977,64,-0.043803345,-0.09454412,0.102968968,0.102968968,0,0,0,0,0,0,0,0,0,0
0,2,0,N/A,N/A,0.389999986,0.439999998,TRUE,68,0.076188728,-0.093246028,0.112933718,0.112933718,64,0.22379145,-0.084159419,0.119576871,0.119576871,0,0,0,0,0,0,0,0,0,0
0,2,10,N/A,N/A,0.389999986,0.319999993,TRUE,68,0.349596262,-0.095842212,0.124559246,0.124559246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,20,N/A,N/A,0.370000005,0.419999987,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
